Date,Ticker,Close,eligible_signal,label_available_at,target_excess_simple_20d_next_close,target_simple_20d_next_close,target_end_20d_next_close,vol_ann_120d,ma_gap_20d,momentum_20d,relative_momentum_20d,rsi_14d,risk_rank,stability_group,stable,Sector,pred_all_train,pred_stable_train,horizon,strategy,top_n,target_excess_simple_60d_next_close,target_simple_60d_next_close,target_end_60d_next_close,ma_gap_60d,momentum_60d,relative_momentum_60d,rsi_28d,target_excess_simple_120d_next_close,target_simple_120d_next_close,target_end_120d_next_close,ma_gap_120d,momentum_120d,relative_momentum_120d,rsi_56d
2025-03-20,EVRG,64.4155502319336,True,2025-04-21,0.08246007008858242,-0.007412799527742543,2025-04-21,0.14273454,0.013387975,0.021072324,0.09807578,48.58341,1,Stable,True,Utilities,-0.0030798954558219384,-0.0016532780207410389,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,LIN,450.2341613769531,True,2025-04-21,0.05828004959591331,-0.031592820020411645,2025-04-21,0.15320791,-0.004107469,-0.005678775,0.071527444,42.059673,1,Stable,True,Materials,-0.0012689593876099626,-0.0028477387407409497,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,TJX,114.11410522460938,True,2025-04-21,0.15756151435351412,0.06768864473718916,2025-04-21,0.15819757,-0.02543921,-0.05472439,0.020943657,29.93868,1,Stable,True,Consumer Discretionary,-0.002810667216426941,-0.005585497261037042,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,JNJ,156.9202423095703,True,2025-04-21,0.04886566645070639,-0.041007203165618566,2025-04-21,0.16084474,-0.008879474,0.020916937,0.097923584,43.288578,1,Stable,True,Health Care,-0.0012614790771599623,-0.002651205174640588,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,RSG,231.08253479003906,True,2025-04-21,0.11386621757659571,0.023993347960270747,2025-04-21,0.16097485,0.0054993103,0.01732654,0.09440055,46.04975,1,Stable,True,Industrials,-0.0030798954558219384,-0.0016532780207410389,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,ADP,288.026611328125,True,2025-04-21,0.05441990565657101,-0.03545296395975395,2025-04-21,0.16591877,-0.018431216,-0.041269265,0.035077382,35.492535,1,Stable,True,Industrials,0.00019817292256284604,-0.003551784219370254,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,CMS,70.40638732910156,True,2025-04-21,0.07082514399570267,-0.019047725620622288,2025-04-21,0.16694954,0.012649646,0.042291485,0.118644044,52.86228,1,Stable,True,Utilities,-0.0019386265092360528,-0.0019084690396026262,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,CME,255.38925170898438,True,2025-04-21,0.0784052253364958,-0.011467644279829157,2025-04-21,0.16948064,0.041446872,0.0786806,0.15296103,67.46826,1,Stable,True,Financials,-0.0028978001017716816,-0.003162692116199737,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,JNPR,35.939573289,True,2025-04-21,0.03411697502332972,-0.05575589459299524,2025-04-21,0.17001598,0.0078203725,0.0086164065,0.0858019,55.286137,1,Stable,True,Unknown,-0.002689628253344608,-0.001774322335357386,20,lowvol,10,,,,,,,,,,,,,,
2025-03-20,K,80.6034154026,True,2025-04-21,0.08866089531120086,-0.0012119743051240972,2025-04-21,0.029196598,0.00047363044,0.0054344214,0.08264211,49.918564,1,Stable,True,Unknown,-0.0024934430416695716,-0.0029335507120715606,20,stable_lowvol,10,,,,,,,,,,,,,,
2025-03-20,EVRG,64.4155502319336,True,2025-04-21,0.08246007008858242,-0.007412799527742543,2025-04-21,0.14273454,0.013387975,0.021072324,0.09807578,48.58341,1,Stable,True,Utilities,-0.0030798954558219384,-0.0016532780207410389,20,stable_lowvol,10,,,,,,,,,,,,,,
