horizon,fold,Date,scope,train_rows,max_train_label_end,max_label_available,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
20,11,2025-04-17,stable_train,92311,2025-04-10,2025-04-10,-0.06012267389570498,,,0.0,-0.011478088845932613,-0.011478088845932613,1,-0.06012267389570498,1,245,245,0,1.0
20,12,2025-05-16,all_train,216533,2025-05-09,2025-05-09,-0.044953509500286225,,,0.0,-0.010487251258294021,-0.010487251258294021,1,-0.044953509500286225,1,236,236,0,1.0
20,12,2025-05-16,stable_train,93481,2025-05-09,2025-05-09,0.002897877882757085,,,1.0,0.009650752593381684,0.009650752593381684,1,0.002897877882757085,1,236,236,0,1.0
20,13,2025-06-16,all_train,218529,2025-06-09,2025-06-09,0.17660216915048554,,,1.0,0.02046731782546495,0.02046731782546495,1,0.17660216915048554,1,235,236,1,0.9957627118644068
20,13,2025-06-16,stable_train,94460,2025-06-09,2025-06-09,-0.01181675041864523,,,0.0,,0.0018477205238857305,0,-0.01181675041864523,1,235,236,1,0.9957627118644068
20,14,2025-07-16,all_train,220525,2025-07-09,2025-07-09,-0.13642125466975497,,,0.0,-0.024894521287162366,-0.024894521287162366,1,-0.13642125466975497,1,234,234,0,1.0
20,14,2025-07-16,stable_train,95413,2025-07-09,2025-07-09,0.005611355268862072,,,1.0,-0.00459545642176708,-0.00459545642176708,1,0.005611355268862072,1,234,234,0,1.0
20,15,2025-08-13,all_train,222520,2025-08-06,2025-08-06,0.0001760000586802971,,,1.0,-0.0025193371116092617,-0.0025193371116092617,1,0.0001760000586802971,1,219,220,1,0.9954545454545455
20,15,2025-08-13,stable_train,96351,2025-08-06,2025-08-06,-0.023827683476925696,,,0.0,-0.004057933591823038,-0.004057933591823038,1,-0.023827683476925696,1,219,220,1,0.9954545454545455
20,16,2025-09-11,all_train,224515,2025-09-04,2025-09-04,-0.12734149954655305,,,0.0,-0.008483530007236407,-0.008483530007236407,1,-0.12734149954655305,1,213,213,0,1.0
20,16,2025-09-11,stable_train,97272,2025-09-04,2025-09-04,-0.059956552654426815,,,0.0,-0.004811139968828602,-0.004811139968828602,1,-0.059956552654426815,1,213,213,0,1.0
20,17,2025-10-09,all_train,226511,2025-10-02,2025-10-02,-0.07353875625372627,,,0.0,-0.001500374063088214,-0.001500374063088214,1,-0.07353875625372627,1,197,197,0,1.0
20,17,2025-10-09,stable_train,98122,2025-10-02,2025-10-02,-0.02007946554195765,,,0.0,0.011677794311110185,0.011677794311110185,1,-0.02007946554195765,1,197,197,0,1.0
20,18,2025-11-06,all_train,228507,2025-10-30,2025-10-30,0.05502972472645983,,,1.0,0.013218248260663753,0.013218248260663753,1,0.05502972472645983,1,238,238,0,1.0
20,18,2025-11-06,stable_train,98933,2025-10-30,2025-10-30,0.001221781902783152,,,1.0,0.0007477330186314059,0.0007477330186314059,1,0.001221781902783152,1,238,238,0,1.0
20,19,2025-12-05,all_train,230503,2025-11-28,2025-11-28,0.0882855383242675,,,1.0,0.016197228009662095,0.016197228009662095,1,0.0882855383242675,1,253,254,1,0.9960629921259843
20,19,2025-12-05,stable_train,99763,2025-11-28,2025-11-28,0.1131797295638171,,,1.0,,0.014202161404928979,0,0.1131797295638171,1,253,254,1,0.9960629921259843
20,20,2026-01-06,all_train,232491,2025-12-29,2025-12-29,0.10447360828770852,,,1.0,0.004541391109586318,0.004541391109586318,1,0.10447360828770852,1,272,273,1,0.9963369963369964
20,20,2026-01-06,stable_train,100756,2025-12-29,2025-12-29,0.01743608689699009,,,1.0,,-0.0018113882872922843,0,0.01743608689699009,1,272,273,1,0.9963369963369964
20,21,2026-02-04,all_train,234480,2026-01-28,2026-01-28,-0.14783888666208855,,,0.0,-0.01758712056438131,-0.01758712056438131,1,-0.14783888666208855,1,281,281,0,1.0
20,21,2026-02-04,stable_train,101793,2026-01-28,2026-01-28,0.0480342986054021,,,1.0,0.0270248586211237,0.0270248586211237,1,0.0480342986054021,1,281,281,0,1.0
20,22,2026-03-05,all_train,236474,2026-02-26,2026-02-26,-0.11452979711352207,,,0.0,-0.007113076646119047,-0.007113076646119047,1,-0.11452979711352207,1,258,258,0,1.0
20,22,2026-03-05,stable_train,102870,2026-02-26,2026-02-26,0.008929150122963888,,,1.0,-0.011657752430549572,-0.011657752430549572,1,0.008929150122963888,1,258,258,0,1.0
20,23,2026-04-02,all_train,238470,2026-03-26,2026-03-26,-0.13128303259150614,,,0.0,,-0.023837151036594256,0,-0.13128303259150614,1,271,272,1,0.9963235294117647
20,23,2026-04-02,stable_train,103969,2026-03-26,2026-03-26,-0.09389570021483733,,,0.0,,-0.025514863298427545,0,-0.09389570021483733,1,271,272,1,0.9963235294117647
20,24,2026-05-01,all_train,240466,2026-04-24,2026-04-24,-0.03768832307647788,,,0.0,,0.006571950896778908,0,-0.03768832307647788,1,260,261,1,0.9961685823754789
20,24,2026-05-01,stable_train,104986,2026-04-24,2026-04-24,0.09129673712584074,,,1.0,0.007914027083026604,0.007914027083026604,1,0.09129673712584074,1,260,261,1,0.9961685823754789
60,1,2024-07-01,all_train,190645,2024-06-24,2024-06-24,0.028985789814090605,,,1.0,0.01562560565688021,0.01562560565688021,1,0.028985789814090605,1,350,350,0,1.0
60,1,2024-07-01,stable_train,77028,2024-06-24,2024-06-24,0.010310080608348125,,,1.0,0.01912028731957511,0.01912028731957511,1,0.010310080608348125,1,350,350,0,1.0
60,2,2024-09-25,all_train,196609,2024-09-18,2024-09-18,-0.056217698646377996,,,0.0,-0.0032805411789721545,-0.0032805411789721545,1,-0.056217698646377996,1,274,276,2,0.9927536231884058
60,2,2024-09-25,stable_train,80890,2024-09-18,2024-09-18,0.03592289485260369,,,1.0,0.02966555079666742,0.02966555079666742,1,0.03592289485260369,1,274,276,2,0.9927536231884058
60,3,2024-12-19,all_train,202574,2024-12-12,2024-12-12,0.013251925110863082,,,1.0,0.015987520950708385,0.015987520950708385,1,0.013251925110863082,1,364,364,0,1.0
60,3,2024-12-19,stable_train,84394,2024-12-12,2024-12-12,0.01645810633967108,,,1.0,0.011355982734480345,0.011355982734480345,1,0.01645810633967108,1,364,364,0,1.0
60,4,2025-03-20,all_train,208551,2025-03-13,2025-03-13,0.05435902599848532,,,1.0,-0.0007441318475423925,-0.0007441318475423925,1,0.05435902599848532,1,306,306,0,1.0
60,4,2025-03-20,stable_train,88026,2025-03-13,2025-03-13,0.03812548546754584,,,1.0,0.007805642907158558,0.007805642907158558,1,0.03812548546754584,1,306,306,0,1.0
60,5,2025-06-16,all_train,214537,2025-06-09,2025-06-09,-0.026241346300831764,,,0.0,,-0.01897113717920039,0,-0.026241346300831764,1,233,236,3,0.9872881355932204
60,5,2025-06-16,stable_train,92311,2025-06-09,2025-06-09,0.02341729408627803,,,1.0,,0.023205959763757403,0,0.02341729408627803,1,233,236,3,0.9872881355932204
