horizon,fold,Date,EntryDate,ExitDate,strategy,top_n,selected,status,return_settled,mdd,missing_weight,path_coverage,assumption_flat,assumption_loss50,assumption_loss100
20,7,2024-12-19,2024-12-20,2025-01-23,stable_train,10,10,settled_path,0.11011776722117375,-0.007970686523967374,0.0,1.0,0.11011776722117375,0.11011776722117375,0.11011776722117375
20,8,2025-01-22,2025-01-23,2025-02-21,lowvol,10,10,settled_path,0.06614664314751088,-0.02331234732190346,0.0,1.0,0.06614664314751088,0.06614664314751088,0.06614664314751088
20,8,2025-01-22,2025-01-23,2025-02-21,stable_lowvol,10,10,settled_path,0.06614664314751088,-0.02331234732190346,0.0,1.0,0.06614664314751088,0.06614664314751088,0.06614664314751088
20,8,2025-01-22,2025-01-23,2025-02-21,all_train,10,10,settled_path,0.006930604606640087,-0.03252148717694159,0.0,1.0,0.006930604606640087,0.006930604606640087,0.006930604606640087
20,8,2025-01-22,2025-01-23,2025-02-21,stable_train,10,10,settled_path,0.005377580264395288,-0.02504665266823891,0.0,1.0,0.005377580264395288,0.005377580264395288,0.005377580264395288
20,9,2025-02-20,2025-02-21,2025-03-21,lowvol,10,10,settled_path,-0.00674570973857951,-0.045932756225099625,0.0,1.0,-0.00674570973857951,-0.00674570973857951,-0.00674570973857951
20,9,2025-02-20,2025-02-21,2025-03-21,stable_lowvol,10,10,settled_path,-0.00674570973857951,-0.045932756225099625,0.0,1.0,-0.00674570973857951,-0.00674570973857951,-0.00674570973857951
20,9,2025-02-20,2025-02-21,2025-03-21,all_train,10,10,settled_path,-0.010617840869733473,-0.03191437453220025,0.0,1.0,-0.010617840869733473,-0.010617840869733473,-0.010617840869733473
20,9,2025-02-20,2025-02-21,2025-03-21,stable_train,10,10,settled_path,4.707667408522381e-05,-0.04371233878632519,0.0,1.0,4.707667408522381e-05,4.707667408522381e-05,4.707667408522381e-05
20,10,2025-03-20,2025-03-21,2025-04-21,lowvol,10,10,settled_path,-0.011126703277463757,-0.06371898492710415,0.0,1.0,-0.011126703277463757,-0.011126703277463757,-0.011126703277463757
20,10,2025-03-20,2025-03-21,2025-04-21,stable_lowvol,10,10,settled_path,-0.011126703277463757,-0.06371898492710415,0.0,1.0,-0.011126703277463757,-0.011126703277463757,-0.011126703277463757
20,10,2025-03-20,2025-03-21,2025-04-21,all_train,10,10,settled_path,-0.058182860145967276,-0.13863922633779757,0.0,1.0,-0.058182860145967276,-0.058182860145967276,-0.058182860145967276
20,10,2025-03-20,2025-03-21,2025-04-21,stable_train,10,10,settled_path,-0.04838049807241039,-0.08807544123209698,0.0,1.0,-0.04838049807241039,-0.04838049807241039,-0.04838049807241039
20,11,2025-04-17,2025-04-21,2025-05-19,lowvol,10,10,settled_path,0.02508805564390778,-0.04148560230062559,0.0,1.0,0.02508805564390778,0.02508805564390778,0.02508805564390778
20,11,2025-04-17,2025-04-21,2025-05-19,stable_lowvol,10,10,settled_path,0.02508805564390778,-0.04148560230062559,0.0,1.0,0.02508805564390778,0.02508805564390778,0.02508805564390778
20,11,2025-04-17,2025-04-21,2025-05-19,all_train,10,10,settled_path,0.04645424379752816,-0.037045957093473025,0.0,1.0,0.04645424379752816,0.04645424379752816,0.04645424379752816
20,11,2025-04-17,2025-04-21,2025-05-19,stable_train,10,10,settled_path,0.016473600801969152,-0.04123583242214812,0.0,1.0,0.016473600801969152,0.016473600801969152,0.016473600801969152
20,12,2025-05-16,2025-05-19,2025-06-17,lowvol,10,10,settled_path,-0.02553634343489123,-0.02752516318244469,0.0,1.0,-0.02553634343489123,-0.02553634343489123,-0.02553634343489123
20,12,2025-05-16,2025-05-19,2025-06-17,stable_lowvol,10,10,settled_path,-0.02553634343489123,-0.02752516318244469,0.0,1.0,-0.02553634343489123,-0.02553634343489123,-0.02553634343489123
20,12,2025-05-16,2025-05-19,2025-06-17,all_train,10,10,settled_path,0.004640873029043828,-0.026987316963793972,0.0,1.0,0.004640873029043828,0.004640873029043828,0.004640873029043828
20,12,2025-05-16,2025-05-19,2025-06-17,stable_train,10,10,settled_path,0.007051386903929304,-0.0354547187574602,0.0,1.0,0.007051386903929304,0.007051386903929304,0.007051386903929304
20,13,2025-06-16,2025-06-17,2025-07-17,lowvol,10,10,unresolved_return,,,0.1,0.9523809523809523,0.0019841661146758564,-0.04801583388532414,-0.09801583388532414
20,13,2025-06-16,2025-06-17,2025-07-17,stable_lowvol,10,10,unresolved_return,,,0.1,0.9523809523809523,0.0019841661146758564,-0.04801583388532414,-0.09801583388532414
20,13,2025-06-16,2025-06-17,2025-07-17,all_train,10,10,settled_path,0.029675446580905474,-0.035150681418639196,0.0,1.0,0.029675446580905474,0.029675446580905474,0.029675446580905474
20,13,2025-06-16,2025-06-17,2025-07-17,stable_train,10,10,settled_path,0.034696920225430763,-0.03226459478089172,0.0,1.0,0.034696920225430763,0.034696920225430763,0.034696920225430763
20,14,2025-07-16,2025-07-17,2025-08-14,lowvol,10,10,settled_path,0.04092880196259041,-0.02451747602801435,0.0,1.0,0.04092880196259041,0.04092880196259041,0.04092880196259041
20,14,2025-07-16,2025-07-17,2025-08-14,stable_lowvol,10,10,settled_path,0.04092880196259041,-0.02451747602801435,0.0,1.0,0.04092880196259041,0.04092880196259041,0.04092880196259041
20,14,2025-07-16,2025-07-17,2025-08-14,all_train,10,10,settled_path,0.013008523563325398,-0.047229124085436336,0.0,1.0,0.013008523563325398,0.013008523563325398,0.013008523563325398
20,14,2025-07-16,2025-07-17,2025-08-14,stable_train,10,10,settled_path,0.0375291614912777,-0.024921462576723008,0.0,1.0,0.0375291614912777,0.0375291614912777,0.0375291614912777
